Timestamp,Open,High,Low,Close,Volume,|,Date,Direction,Amplitude
1685845800000,27034.8,27044.4,27034.1,27044.3,1.55229567,|,2023-06-04 10:30:00,9.5,10.30000000000291
1685845740000,27035.6,27035.7,27034.1,27034.2,1.64548544,|,2023-06-04 10:29:00,-1.3999999999978172,1.6000000000021828
1685845680000,27037.2,27037.2,27035.6,27035.6,0.92441416,|,2023-06-04 10:28:00,-1.6000000000021828,1.6000000000021828
1685845620000,27038.8,27038.8,27037.2,27037.2,0.27253521,|,2023-06-04 10:27:00,-1.5999999999985448,1.5999999999985448
1685845560000,27037.6,27038.8,27037.0,27038.7,0.18407526,|,2023-06-04 10:26:00,1.1000000000021828,1.7999999999992724
1685845500000,27036.5,27038.4,27036.5,27037.6,0.46378914,|,2023-06-04 10:25:00,1.0999999999985448,1.9000000000014552
1685845440000,27045.9,27046.0,27036.1,27038.9,0.5820173,|,2023-06-04 10:24:00,-7.0,9.900000000001455
1685845380000,27059.8,27059.8,27045.9,27045.9,5.84750815,|,2023-06-04 10:23:00,-13.899999999997817,13.899999999997817
1685845320000,27064.5,27072.4,27059.9,27059.9,3.24093354,|,2023-06-04 10:22:00,-4.599999999998545,12.5
1685845260000,27056.5,27060.6,27056.5,27060.6,1.59687227,|,2023-06-04 10:21:00,4.099999999998545,4.099999999998545
1685845200000,27055.5,27056.6,27055.5,27056.6,0.69474812,|,2023-06-04 10:20:00,1.0999999999985448,1.0999999999985448
1685845140000,27050.0,27055.6,27049.9,27055.6,0.75415313,|,2023-06-04 10:19:00,5.599999999998545,5.69999999999709
1685845080000,27050.0,27050.0,27049.9,27049.9,0.30321071,|,2023-06-04 10:18:00,-0.09999999999854481,0.09999999999854481
1685845020000,27050.0,27056.6,27049.9,27049.9,11.33166767,|,2023-06-04 10:17:00,-0.09999999999854481,6.69999999999709
1685844960000,27050.0,27050.0,27049.9,27050.0,0.57271137,|,2023-06-04 10:16:00,0.0,0.09999999999854481
1685844900000,27049.4,27050.0,27049.3,27049.9,0.28020022,|,2023-06-04 10:15:00,0.5,0.7000000000007276
1685844840000,27049.3,27049.4,27049.2,27049.4,0.68432845,|,2023-06-04 10:14:00,0.10000000000218279,0.2000000000007276
1685844780000,27047.2,27049.3,27047.2,27049.3,0.31454754,|,2023-06-04 10:13:00,2.099999999998545,2.099999999998545
1685844720000,27042.0,27047.2,27041.9,27047.2,1.93735603,|,2023-06-04 10:12:00,5.200000000000728,5.299999999999272
1685844660000,27042.0,27042.0,27041.9,27041.9,0.21088439,|,2023-06-04 10:11:00,-0.09999999999854481,0.09999999999854481
1685844600000,27041.9,27042.6,27035.0,27041.9,0.94555377,|,2023-06-04 10:10:00,0.0,7.599999999998545
1685844540000,27042.0,27042.0,27041.9,27042.0,0.16536598,|,2023-06-04 10:09:00,0.0,0.09999999999854481
1685844480000,27041.5,27042.0,27039.7,27042.0,2.14759262,|,2023-06-04 10:08:00,0.5,2.2999999999992724
1685844420000,27033.3,27045.9,27033.3,27041.5,0.4832993,|,2023-06-04 10:07:00,8.200000000000728,12.600000000002183
1685844360000,27038.0,27041.9,27027.5,27033.3,10.2077341,|,2023-06-04 10:06:00,-4.700000000000728,14.400000000001455
1685844300000,27045.5,27045.5,27039.7,27039.7,0.53206128,|,2023-06-04 10:05:00,-5.799999999999272,5.799999999999272
1685844240000,27042.0,27045.6,27041.9,27045.5,0.27408598,|,2023-06-04 10:04:00,3.5,3.6999999999970896
1685844180000,27042.0,27042.0,27041.9,27042.0,0.07887716,|,2023-06-04 10:03:00,0.0,0.09999999999854481
1685844120000,27041.8,27042.6,27041.7,27042.0,0.11158205,|,2023-06-04 10:02:00,0.2000000000007276,0.8999999999978172
1685844060000,27044.1,27044.1,27041.7,27041.7,0.42365003,|,2023-06-04 10:01:00,-2.399999999997817,2.399999999997817
1685844000000,27043.0,27046.2,27041.1,27045.8,0.25228313,|,2023-06-04 10:00:00,2.7999999999992724,5.100000000002183
1685843940000,27043.0,27043.1,27043.0,27043.1,0.03084316,|,2023-06-04 09:59:00,0.09999999999854481,0.09999999999854481
1685843880000,27043.7,27043.7,27043.6,27043.6,0.06042704,|,2023-06-04 09:58:00,-0.10000000000218279,0.10000000000218279
1685843820000,27044.5,27044.5,27041.5,27043.7,0.08041747,|,2023-06-04 09:57:00,-0.7999999999992724,3.0
1685843760000,27054.7,27058.4,27044.6,27044.6,6.21323773,|,2023-06-04 09:56:00,-10.100000000002183,13.80000000000291
1685843700000,27054.8,27054.8,27054.7,27054.7,0.10726433,|,2023-06-04 09:55:00,-0.09999999999854481,0.09999999999854481
1685843640000,27054.9,27054.9,27054.7,27054.8,0.03957753,|,2023-06-04 09:54:00,-0.10000000000218279,0.2000000000007276
1685843580000,27049.3,27054.9,27044.4,27054.9,0.70798364,|,2023-06-04 09:53:00,5.600000000002183,10.5
1685843520000,27049.3,27049.3,27049.2,27049.3,0.1400885,|,2023-06-04 09:52:00,0.0,0.09999999999854481
1685843460000,27037.9,27051.5,27037.8,27049.4,2.07160115,|,2023-06-04 09:51:00,11.5,13.700000000000728
1685843400000,27037.8,27037.9,27037.8,27037.9,0.04715788,|,2023-06-04 09:50:00,0.10000000000218279,0.10000000000218279
1685843340000,27037.9,27037.9,27037.8,27037.8,0.08795472,|,2023-06-04 09:49:00,-0.10000000000218279,0.10000000000218279
1685843280000,27027.1,27038.0,27027.0,27037.9,0.40675973,|,2023-06-04 09:48:00,10.80000000000291,11.0
1685843220000,27032.1,27032.1,27027.7,27027.7,1.17727231,|,2023-06-04 09:47:00,-4.399999999997817,4.399999999997817
1685843160000,27038.1,27038.2,27032.0,27032.0,0.82045742,|,2023-06-04 09:46:00,-6.099999999998545,6.200000000000728
1685843100000,27038.1,27038.2,27038.1,27038.2,0.24222727,|,2023-06-04 09:45:00,0.10000000000218279,0.10000000000218279
1685843040000,27027.1,27038.1,27027.1,27038.1,1.06696763,|,2023-06-04 09:44:00,11.0,11.0
1685842980000,27026.7,27029.6,27026.6,27027.2,0.3028848,|,2023-06-04 09:43:00,0.5,3.0
1685842920000,27038.2,27038.2,27026.6,27026.6,0.70491339,|,2023-06-04 09:42:00,-11.600000000002183,11.600000000002183
1685842860000,27044.7,27044.7,27038.1,27038.2,0.77456484,|,2023-06-04 09:41:00,-6.5,6.600000000002183
1685842800000,27044.8,27044.8,27044.7,27044.8,0.26918866,|,2023-06-04 09:40:00,0.0,0.09999999999854481
1685842740000,27044.8,27044.8,27044.7,27044.7,0.17892662,|,2023-06-04 09:39:00,-0.09999999999854481,0.09999999999854481
1685842680000,27044.8,27044.8,27044.7,27044.7,0.03594981,|,2023-06-04 09:38:00,-0.09999999999854481,0.09999999999854481
1685842620000,27043.8,27046.4,27043.7,27044.7,0.21584985,|,2023-06-04 09:37:00,0.9000000000014552,2.7000000000007276
1685842560000,27043.5,27043.7,27043.5,27043.7,0.36129326,|,2023-06-04 09:36:00,0.2000000000007276,0.2000000000007276
1685842500000,27048.2,27048.2,27043.7,27043.7,0.02101244,|,2023-06-04 09:35:00,-4.5,4.5
1685842440000,27051.3,27051.3,27048.1,27048.1,0.28119158,|,2023-06-04 09:34:00,-3.2000000000007276,3.2000000000007276
1685842380000,27047.2,27052.4,27042.2,27051.3,3.25986778,|,2023-06-04 09:33:00,4.099999999998545,10.200000000000728
1685842320000,27053.4,27053.4,27047.1,27047.1,0.10291211,|,2023-06-04 09:32:00,-6.30000000000291,6.30000000000291
1685842260000,27058.7,27058.7,27049.7,27049.8,0.27249252,|,2023-06-04 09:31:00,-8.900000000001455,9.0
1685842200000,27064.2,27080.7,27045.9,27058.7,18.52245056,|,2023-06-04 09:30:00,-5.5,34.79999999999927
1685842140000,27054.1,27064.1,27054.0,27064.1,0.47654427,|,2023-06-04 09:29:00,10.0,10.099999999998545
1685842080000,27033.7,27054.1,27033.7,27054.0,12.64801322,|,2023-06-04 09:28:00,20.299999999999272,20.399999999997817
1685842020000,27032.2,27033.7,27032.2,27033.7,0.22559629,|,2023-06-04 09:27:00,1.5,1.5
1685841960000,27039.6,27039.7,27032.2,27032.2,0.16673228,|,2023-06-04 09:26:00,-7.399999999997817,7.5
1685841900000,27041.3,27041.3,27038.0,27039.7,0.71736445,|,2023-06-04 09:25:00,-1.5999999999985448,3.2999999999992724
1685841840000,27047.1,27047.1,27041.3,27041.3,0.75934236,|,2023-06-04 09:24:00,-5.799999999999272,5.799999999999272
1685841780000,27042.1,27043.8,27039.8,27043.8,0.62203926,|,2023-06-04 09:23:00,1.7000000000007276,4.0
1685841720000,27052.8,27052.8,27042.0,27042.0,2.58796219,|,2023-06-04 09:22:00,-10.799999999999272,10.799999999999272
1685841660000,27054.0,27054.0,27052.7,27052.7,0.09253438,|,2023-06-04 09:21:00,-1.2999999999992724,1.2999999999992724
1685841600000,27051.4,27054.0,27051.4,27054.0,1.32809774,|,2023-06-04 09:20:00,2.599999999998545,2.599999999998545
1685841540000,27058.5,27058.5,27051.5,27051.5,0.42167909,|,2023-06-04 09:19:00,-7.0,7.0
1685841480000,27060.1,27062.1,27055.2,27058.4,3.14087669,|,2023-06-04 09:18:00,-1.6999999999970896,6.899999999997817
